Entry #,Movie Title,Year,Cast and Crew,URL
43,Viridiana,1961,"['Catherine Deneuve', 'Francisco Rabal', 'Silvia Pinal', 'Fernando Rey']",https://www.rogerebert.com/reviews/great-movie-viridiana-1961
44,The Big Lebowski,1998,"['Jeff Bridges', 'Julianne Moore', 'John Goodman', 'Steve Buscemi', 'Tara Reid', 'Raymond Chandler', 'The Coens', 'John Turturro', 'Peter Stormare', 'Philip Seymour Hoffman', 'David Huddleston', 'Sam Elliott']",https://www.rogerebert.com/reviews/great-movie-the-big-lebowski-1998
45,Pink Floyd: The Wall,1982,"['David Bowie', 'Alan Parker', 'Jenny Wright', 'Francois Truffaut']",https://www.rogerebert.com/reviews/great-movie-pink-floyd-the-wall-1982
46,Make Way for Tomorrow,1937,"['Beulah Bondi', 'Thomas Mitchell', 'Victor Moore']",https://www.rogerebert.com/reviews/make-way-for-tomorrow-1937
47,The Hairdresser's Husband,1990,"['Jean Rochefort', 'Anna Galiena', 'Maurice Chevit', 'Patrice Leconte', 'Ang Lee', 'Johnny Hallyday']",https://www.rogerebert.com/reviews/the-hairdressers-husband-1990
48,Cache,2005,"['Juliette Binoche', 'Daniel Auteuil', 'Lester Makedonsky', 'Maurice Benichou']",https://www.rogerebert.com/reviews/great-movie-cache-2005
49,Eternal Sunshine of the Spotless Mind,2004,"['Charlie Kaufman', 'Chuck Barris', 'Jim Carrey', 'Kate Winslet', 'Mark Ruffalo', 'Kirsten Dunst', 'Tom Wilkinson', 'Elijah Wood', 'John Cusack', 'Philip Seymour Hoffman']",https://www.rogerebert.com/reviews/eternal-sunshine-of-the-spotless-mind-2004-1
50,25th Hour,2002,"['Spike Lee', 'Rosario Dawson', 'Philip Seymour Hoffman', 'Barry Pepper', 'Brian Cox', 'Edward Norton', 'Anna Paquin', 'Rodrigo Prieto']",https://www.rogerebert.com/reviews/25th-hour-2002
51,The Red Shoes,1948,"['Michael Powell', 'David Niven', 'Deborah Kerr', 'Vaslav Nijinsky', 'Margot Fonteyn', 'Jack Cardiff', 'Emeric Pressburger', 'Anton Walbrook']",https://www.rogerebert.com/reviews/the-red-shoes-1948
52,Mon oncle d'Amerique,1980,['Nicole Garcia'],https://www.rogerebert.com/reviews/mon-oncle-damerique-1980
53,"Leon Morin, Priest",1961,"['Jean-Paul Belmondo', 'Emmanuelle Riva', 'Jean-Pierre Melville']",https://www.rogerebert.com/reviews/leon-morin-priest-1961
54,Richard III,1996,"['John Ford', 'Ian McKellen', 'Kristin Scott Thomas', 'Jim Broadbent']",https://www.rogerebert.com/reviews/richard-iii-1996-1
55,The Grey Zone,2001,"['Blake Nelson', 'Allan Corduner', 'Harvey Keitel', 'David Arquette', 'Daniel Benzali', 'Tim Blake', 'Michael Stuhlbarg', 'Steve Buscemi', 'Mira Sorvino', 'Natasha Lyonne', 'Tim Blake Nelson', 'Martha Plimpton', 'Kevin Anderson', 'Edward Norton']",https://www.rogerebert.com/reviews/great-movie-the-grey-zone-2001
56,Barry Lyndon,1975,"['Barry Lyndon', ""Ryan O'Neal"", 'Albert Finney', 'Tom Jones', 'Leonard Rossiter', 'Marisa Berenson', 'Lady Lyndon', 'Michael Hordern', 'John Alcott']",https://www.rogerebert.com/reviews/barry-lyndon-1975
57,"Spring, Summer, Fall, Winter... and Spring",2003,[],https://www.rogerebert.com/reviews/spring-summer-fall-winter_and-spring-2003
58,In a Lonely Place,1950,"['Gloria Grahame', 'Nicholas Ray', 'Lauren Bacall', 'Burnett Guffey', 'Lee Marvin']",https://www.rogerebert.com/reviews/in-a-lonely-place-1950
59,Souls For Sale,1923,"['Eleanor Boardman', 'Lew Cody', 'Richard Dix', 'Frank Mayo', 'Charles Chaplin', 'Barbara La Marr', 'Mae Busch', 'Rupert Hughes']",https://www.rogerebert.com/reviews/souls-for-sale-1923
60,Rio Bravo,1959,"['Howard Hawks', 'John Wayne', 'Angie Dickinson', 'Dean Martin', 'Walter Brennan', 'Jules Furthman', 'Leigh Brackett', 'John Carpenter', 'John Ford', 'Lauren Bacall', 'Katharine Hepburn', 'Carole Lombard', 'Rosalind Russell', 'Sherry Lansing', 'Peter Bogdanovich', 'Dimitri Tiomkin', 'John Russell']",https://www.rogerebert.com/reviews/rio-bravo-1959
61,Man With a Movie Camera,1929,"['John Wayne', 'Boris Kaufman', 'Neil Young', 'John Ford', 'Michael Nyman', 'Luis Bunuel']",https://www.rogerebert.com/reviews/great-movie-man-with-a-movie-camera-1929
62,Tender Mercies,1983,"['Robert Duvall', 'Tess Harper', 'Bruce Beresford', 'Horton Foote', 'Betty Buckley', 'Ellen Barkin', 'Wilford Brimley', 'Russell Boyd']",https://www.rogerebert.com/reviews/great-movie-tender-mercies-1983
63,The Cabinet of Dr. Caligari,1920,"['Robert Wiene', 'Werner Krauss', 'Conrad Veidt']",https://www.rogerebert.com/reviews/great-movie-the-cabinet-of-dr-caligari-1920
64,The Thief of Bagdad,1940,"['Miklos Rozsa', 'Alexander Korda', 'Conrad Veidt', 'June Duprez', 'Rex Ingram', 'William Cameron Menzies', 'Michael Powell']",https://www.rogerebert.com/reviews/the-thief-of-bagdad-1940
65,Chop Shop,2008,"['Ahmad Razvi', 'Rob Sowulski', 'Alejandro Polanco', 'Isamar Gonzales', 'Sven Nykvist', 'Ramin Bahrani', 'Souleymane Sy Savane', 'Red West', 'Elvis Presley']",https://www.rogerebert.com/reviews/chop-shop-2008-1
66,La Belle Noiseuse,1991,"['Jacques Rivette', 'Michel Piccoli', 'Jane Birkin']",https://www.rogerebert.com/reviews/la-belle-noiseuse-1991
67,Withnail and I,1987,"['Bruce Robinson', 'Richard E. Grant', 'Richard Griffiths', 'Paul McGann', 'Franco Zeffirelli', 'Ralph Brown']",https://www.rogerebert.com/reviews/withnail-and-i-1987
